gender;department;company;color;age
F;Product Management;Thoughtblab;Red;89
F;Support;Thoughtworks;Violet;81
F;Business Development;Photojam;Aquamarine;60
F;Services;Feedfish;Green;44
M;Services;Innojam;Aquamarine;22
M;Business Development;Kwideo;Pink;36
F;Business Development;LiveZ;Pink;88
F;Engineering;Eimbee;Aquamarine;94
M;Accounting;Skinte;Yellow;73
F;Engineering;Babblestorm;Maroon;26
F;Research and Development;Jetwire;Fuscia;36
M;Services;Dabtype;Fuscia;89
F;Business Development;Abatz;Puce;77
M;Services;Meemm;Aquamarine;79
F;Legal;Rhyloo;Indigo;83
M;Accounting;Linkbridge;Pink;57
M;Training;Flipbug;Khaki;29
F;Human Resources;Abata;Maroon;62
F;Business Development;Latz;Teal;42
M;Support;Oba;Aquamarine;25
M;Product Management;Leenti;Goldenrod;88
M;Research and Development;Dabtype;Puce;31
F;Accounting;Eamia;Aquamarine;65
M;Human Resources;Rooxo;Purple;70
F;Accounting;Omba;Red;35
F;Marketing;Youspan;Crimson;78
M;Legal;Feedspan;Indigo;98
M;Engineering;Flipstorm;Fuscia;95
F;Marketing;Gevee;Mauv;29
M;Business Development;Skyndu;Orange;82
M;Accounting;Ailane;Fuscia;38
F;Research and Development;Bluejam;Teal;73
M;Research and Development;Realblab;Maroon;74
M;Product Management;BlogXS;Yellow;78
M;Human Resources;Quaxo;Purple;25
M;Accounting;Plajo;Violet;39
M;Marketing;Cogilith;Aquamarine;48
M;Business Development;Photojam;Aquamarine;47
M;Accounting;Meevee;Violet;94
M;Marketing;Kwideo;Mauv;47
F;Research and Development;Rhynoodle;Green;51
F;Sales;Browsetype;Khaki;31
F;Product Management;Brainsphere;Pink;63
F;Engineering;Flashspan;Crimson;67
F;Research and Development;Gabtune;Khaki;58
F;Sales;Skyvu;Green;36
M;Research and Development;Demizz;Teal;77
M;Engineering;Zoovu;Yellow;69
M;Business Development;Shufflebeat;Turquoise;92
M;Research and Development;Wikibox;Indigo;50
F;Sales;Zoombox;Mauv;23
M;Marketing;Latz;Puce;73
F;Human Resources;Trudeo;Crimson;28
F;Sales;Shuffledrive;Yellow;56
F;Research and Development;Kwideo;Pink;74
F;Marketing;Skiptube;Puce;84
F;Research and Development;Edgeclub;Teal;96
F;Engineering;Ooba;Red;22
M;Research and Development;Geba;Orange;26
M;Accounting;Photobug;Mauv;55
F;Support;Topiclounge;Goldenrod;51
M;Business Development;Oyondu;Crimson;62
F;Sales;Brightdog;Goldenrod;27
F;Support;Rhyloo;Turquoise;86
M;Product Management;Oyope;Mauv;29
F;Research and Development;Mynte;Maroon;69
F;Training;Youspan;Blue;28
M;Sales;Skipstorm;Indigo;81
F;Product Management;Brightdog;Yellow;69
M;Human Resources;Blogpad;Puce;20
F;Support;Zoovu;Puce;78
F;Accounting;Innojam;Aquamarine;37
F;Engineering;LiveZ;Aquamarine;56
F;Business Development;Pixope;Crimson;94
F;Human Resources;DabZ;Khaki;49
F;Marketing;Skipstorm;Mauv;64
M;Legal;BlogXS;Pink;26
F;Product Management;Oozz;Mauv;23
F;Product Management;Leenti;Maroon;61
M;Accounting;Yoveo;Mauv;83
M;Marketing;Edgeify;Maroon;82
F;Business Development;Kazu;Green;92
M;Sales;Zoomzone;Khaki;65
F;Marketing;Midel;Orange;65
F;Support;Yodoo;Pink;76
F;Sales;Buzzshare;Purple;32
M;Training;Oyoloo;Puce;20
F;Training;Blogspan;Violet;22
F;Accounting;Dabshots;Crimson;41
F;Research and Development;Quimm;Mauv;25
F;Legal;Centimia;Puce;50
F;Engineering;Thoughtbridge;Violet;36
F;Engineering;Fivespan;Khaki;95
M;Services;Skilith;Teal;87
F;Services;Ooba;Teal;47
M;Accounting;Mycat;Yellow;54
M;Human Resources;Jayo;Khaki;63
